cap_weight,pos_alpha,max_to,rebalance_every,gamma,topk,sharpe_net,ann_ret_net,mdd_net,turnover_mean
0.35,0.6,0.5,5,0.5,1,2.888373609653455,0.48910833627051264,-0.043565362302568245,0.04204174609488248
0.25,0.6,0.5,5,0.5,1,2.8755214448045834,0.5040439069242744,-0.0392663011973422,0.028384702694003085
0.35,0.6,0.3,5,0.5,1,2.8472679333870206,0.4699415852073079,-0.04431915044831325,0.03741078503535896
0.25,0.6,0.3,5,0.5,1,2.841434319484121,0.48675379970223354,-0.04066364715137172,0.02796595340902537
0.35,0.4,0.5,5,0.5,1,2.8404791034997157,0.47868607010916975,-0.04091415602963122,0.02383506059392845
0.35,0.4,0.3,5,0.5,1,2.829842699015498,0.4739777480467875,-0.04091415602963122,0.0238894446682673
0.35,0.25,0.3,5,0.5,1,2.7819793701339286,0.4686231198081938,-0.04091415602963122,0.01410746499880458
0.25,0.4,0.5,5,0.5,1,2.7752679503594693,0.48073161659661046,-0.03725916842090393,0.011374047552128692
0.15,0.6,0.5,5,0.5,1,2.7703093877425076,0.5023944614198272,-0.03778171719325518,0.007390551772588306
0.35,0.25,0.5,5,0.5,1,2.7676928369602676,0.46553130158044076,-0.04091415602963122,0.01437413166547125
0.25,0.4,0.3,5,0.5,1,2.7547487122776966,0.47409300786166897,-0.037259168420904154,0.011040714218795359
0.35,0.4,0.1,5,0.5,1,2.7542789080893644,0.4605277551717477,-0.04096509416086325,0.014335165927755376
0.15,0.6,0.3,5,0.5,1,2.734410111022035,0.4872361106366039,-0.03778171719325529,0.0068191232011597346
0.15,0.6,0.1,5,0.5,1,2.7317688050643194,0.4869902850836456,-0.037781717308631,0.006710907128638878
0.35,0.25,0.1,5,0.5,1,2.715717718169101,0.45672041173032163,-0.04091415602963122,0.013900847352507033
0.15,0.4,0.5,5,0.5,1,2.711619326676387,0.4869886491758493,-0.04023406884976455,0.0027555555555555554
0.35,0.6,0.1,5,0.5,1,2.708195448256001,0.4601530398443274,-0.04091415602963122,0.010605950511133276
0.15,0.25,0.5,5,0.5,1,2.703639200593979,0.4846697018407211,-0.04023406884976444,0.002612698412698413
0.15,0.6,0.5,5,1.5,1,2.7016353370034474,0.46894613980642874,-0.037741343825814844,0.006999034743845876
0.25,0.4,0.1,5,0.5,1,2.6928741409588453,0.46237780050681176,-0.03893008177881152,0.010925466225814527
0.15,0.25,0.3,5,0.5,1,2.692496747595861,0.4814794226795933,-0.04023406884976455,0.002422222222222222
0.15,0.4,0.3,5,0.5,1,2.692496747595861,0.4814794226795933,-0.04023406884976455,0.002422222222222222
0.15,0.4,0.1,5,0.5,1,2.687291550155682,0.47983708003805403,-0.04023406884976455,0.0024354235423542352
0.15,0.25,0.1,5,0.5,1,2.6835596237536965,0.4787861599690002,-0.04023406884976477,0.0024950927293615624
0.15,0.6,0.5,5,1.0,1,2.6799584941688703,0.46171583502133906,-0.0379078092173043,0.007273373203480055
0.25,0.4,0.5,5,1.5,1,2.679675828351435,0.44110574932177826,-0.03707263327604893,0.010680689342005483
0.25,0.25,0.3,5,0.5,1,2.6732947908394213,0.46281013448882913,-0.04023406884976455,0.0025555555555555557
0.25,0.25,0.5,5,0.5,1,2.6706012649296396,0.46217684224731514,-0.040234068849764326,0.0026015325670498087
0.15,0.6,0.3,5,1.5,1,2.6649181605986407,0.4541252645698395,-0.037741343825814844,0.006427606172417304
0.25,0.6,0.5,5,1.5,1,2.66477272058348,0.4377824152793617,-0.0396904518803628,0.026890231135965156
0.15,0.6,0.1,5,1.5,1,2.6621171344833856,0.4538751202543836,-0.03774134482135749,0.0063179109751596105
0.15,0.4,0.5,5,1.5,1,2.6605244550234985,0.45938703010936677,-0.04023406884976488,0.0027555555555555554
0.25,0.6,0.1,5,0.5,1,2.6598117129991854,0.4607757881448873,-0.04023406884976488,0.0031908571465549583
0.25,0.4,0.3,5,1.5,1,2.65847349375006,0.4346447964332236,-0.037072633276048816,0.01034735600867215
0.15,0.25,0.5,5,1.5,1,2.652346621936671,0.4571111272863906,-0.04023406884976466,0.002612698412698413
0.25,0.4,0.5,5,1.0,1,2.6495466729915718,0.4320447747916041,-0.0373387934881213,0.01117852987320886
0.25,0.6,0.3,5,1.5,1,2.649345900954687,0.4248954154237634,-0.04069951632488955,0.026101302428495298
0.35,0.25,0.3,5,1.5,1,2.6472620058261684,0.42288529893354876,-0.04091415602963122,0.013157723137703803
0.15,0.4,0.5,5,1.0,1,2.645970916025689,0.4543949233161704,-0.04023406884976466,0.0027555555555555554
0.15,0.6,0.3,5,1.0,1,2.6429733226675887,0.4469679096651007,-0.03790780921730419,0.006701944632051484
0.35,0.4,0.5,5,1.5,1,2.64287408629977,0.41898277697930975,-0.04091415602963122,0.02251505811726161
0.25,0.25,0.1,5,0.5,1,2.6423597642181487,0.45514745581434735,-0.04023406884976477,0.002982465014331479
0.15,0.25,0.3,5,1.5,1,2.6409246670493403,0.45398006637832156,-0.04023406884976455,0.002422222222222222
0.15,0.4,0.3,5,1.5,1,2.6409246670493403,0.45398006637832156,-0.04023406884976455,0.002422222222222222
0.15,0.6,0.1,5,1.0,1,2.6401745396505496,0.44672073526262723,-0.03790780954847117,0.006592248356074549
0.15,0.25,0.5,5,1.0,1,2.6377613641622477,0.4521268056452521,-0.04023406884976477,0.002612698412698413
0.25,0.4,0.1,5,1.5,1,2.6366198717581093,0.43104826776633853,-0.03728704170807717,0.010163578302878753
0.15,0.4,0.1,5,1.5,1,2.635597613857406,0.45236820905083963,-0.04023406884976477,0.0024354235423542352
0.35,0.25,0.5,5,1.5,1,2.632480795446054,0.419889770234654,-0.04091415602963122,0.013424389804370468
0.15,0.25,0.1,5,1.5,1,2.6317707410395754,0.45133679625605394,-0.04023406884976477,0.0024950927293615624
0.35,0.4,0.3,5,1.5,1,2.6314656953982793,0.4144644325723037,-0.04091415602963122,0.02256954424410306
0.35,0.6,0.5,5,0.5,2,2.6289676321900743,0.44698665591167264,-0.06718349032774196,0.04420127153147683
0.25,0.4,0.3,5,1.0,1,2.628170071766623,0.42562444524355936,-0.03733879348812141,0.010845196539875528
0.15,0.25,0.3,5,1.0,1,2.626295213811758,0.4490064551177122,-0.04023406884976455,0.002422222222222222
0.15,0.4,0.3,5,1.0,1,2.626295213811758,0.4490064551177122,-0.04023406884976455,0.002422222222222222
0.25,0.25,0.3,5,1.5,1,2.622081415307953,0.4356573192194406,-0.04023406884976444,0.0025555555555555557
0.15,0.4,0.1,5,1.0,1,2.6209461212080893,0.44740011145024305,-0.04023406884976477,0.0024354235423542352
0.25,0.25,0.5,5,1.5,1,2.6193094742938996,0.4350357822063313,-0.04023406884976455,0.0026015325670498087
0.15,0.25,0.1,5,1.0,1,2.617104454948377,0.4463722267961876,-0.04023406884976466,0.0024950927293615624
0.35,0.6,0.1,5,1.5,1,2.6133353697737056,0.42158481438268147,-0.04091415602963122,0.009841135087554654
0.25,0.4,0.1,5,1.0,1,2.6100726615606256,0.4229729725033098,-0.03728704170807717,0.010524047261137828
0.25,0.6,0.1,5,1.5,1,2.608127832030871,0.43366073459806653,-0.04023406884976444,0.0031908571465549583
0.25,0.25,0.3,5,1.0,1,2.6072656132524776,0.43074638434876267,-0.04023406884976444,0.0025555555555555557
0.25,0.25,0.5,5,1.0,1,2.604483305506103,0.4301269734194699,-0.04023406884976466,0.0026015325670498087
0.25,0.6,0.1,5,1.0,1,2.5932694489648807,0.4287566294192029,-0.04023406884976444,0.0031908571465549583
0.35,0.25,0.1,5,1.5,1,2.591483106864963,0.41274546575721316,-0.04091415602963122,0.012998258330822502
0.35,0.4,0.1,5,1.5,1,2.5911286523130537,0.40919149021083423,-0.04131800258118146,0.014765386317838605
0.25,0.25,0.1,5,1.5,1,2.590271326307487,0.4281368758861106,-0.04023406884976466,0.002982465014331479
0.35,0.6,0.3,5,0.5,2,2.586274935021925,0.4329251362209232,-0.06718349032774196,0.03958129892989878
0.25,0.6,0.5,5,0.5,2,2.578549980677375,0.4444129325671844,-0.06718349032774196,0.030572813425017786
0.25,0.25,0.1,5,1.0,1,2.575332517441033,0.42325166610101883,-0.04023406884976455,0.002982465014331479
0.35,0.4,0.5,5,1.0,3,2.575012683093257,0.4186158573954264,-0.06234506367564574,0.02174522769594958
0.35,0.4,0.3,5,1.0,3,2.575012683093257,0.4186158573954264,-0.06234506367564574,0.02174522769594958
0.25,0.6,0.1,1,1.0,3,2.5748576033429744,0.42351554854533324,-0.06176603605219544,0.037118564308774346
0.25,0.6,0.1,1,1.5,3,2.574414493080308,0.42266233089328265,-0.06176603605219544,0.03580978778566461
0.35,0.25,0.3,5,1.0,1,2.5738183531088707,0.40601992134956677,-0.04091415602963122,0.014072293519199594
0.35,0.6,0.1,5,1.0,1,2.5714368211277874,0.410653672357022,-0.04091415602963122,0.010388685702634728
0.25,0.6,0.3,5,0.5,2,2.571295040851053,0.4426496389659156,-0.06718349032774196,0.030299286742358704
0.35,0.4,0.3,5,0.5,2,2.564554444350157,0.4404290658972019,-0.06718349032774196,0.026026023448034983
0.35,0.4,0.5,5,0.5,2,2.5626461754451713,0.4397751213997505,-0.06718349032774196,0.026012774804408632
0.15,0.4,0.3,5,1.0,3,2.560780336791343,0.42049913939296957,-0.056756396540089016,0.0035555555555555553
0.15,0.4,0.3,5,1.5,3,2.560780336791343,0.42049913939296957,-0.056756396540089016,0.0035555555555555553
0.15,0.4,0.3,5,0.5,3,2.560780336791343,0.42049913939296957,-0.056756396540089016,0.0035555555555555553
0.25,0.6,0.5,5,1.0,1,2.560321882743173,0.4142535528264657,-0.03986810756107195,0.02808095294639606
0.15,0.4,0.5,5,1.5,3,2.5602762907579844,0.4203341645040426,-0.056949282101073306,0.0035555555555555553
0.15,0.4,0.5,5,1.0,3,2.5602762907579844,0.4203341645040426,-0.056949282101073306,0.0035555555555555553
0.15,0.4,0.5,5,0.5,3,2.5602762907579844,0.4203341645040426,-0.056949282101073306,0.0035555555555555553
0.35,0.25,0.5,5,1.0,1,2.558951238988742,0.4030598984799958,-0.04091415602963122,0.014338960185866261
0.25,0.6,0.1,1,0.5,3,2.557882130642219,0.4199837424703863,-0.06176603605219544,0.03546380823712772
0.15,0.25,0.1,5,0.5,3,2.5577183794099443,0.41958830274114534,-0.05779753531906795,0.003555555555555556
0.15,0.25,0.1,5,1.0,3,2.5577183794099443,0.41958830274114534,-0.05779753531906795,0.003555555555555556
0.15,0.25,0.1,5,1.5,3,2.5577183794099443,0.41958830274114534,-0.05779753531906795,0.003555555555555556
0.15,0.4,0.1,5,0.5,3,2.5577183794099443,0.41958830274114534,-0.05779753531906795,0.003555555555555556
0.15,0.4,0.1,5,1.0,3,2.5577183794099443,0.41958830274114534,-0.05779753531906795,0.003555555555555556
0.15,0.4,0.1,5,1.5,3,2.5577183794099443,0.41958830274114534,-0.05779753531906795,0.003555555555555556
0.35,0.25,0.1,5,1.0,3,2.5573113648379002,0.4152793708933906,-0.06341911963528091,0.014011276635010983
0.15,0.25,0.5,5,0.5,3,2.5566980452573547,0.4193223426016355,-0.058090523725893406,0.0035555555555555553
0.15,0.25,0.3,5,1.5,3,2.5566980452573547,0.4193223426016355,-0.058090523725893406,0.0035555555555555553
0.15,0.25,0.5,5,1.5,3,2.5566980452573547,0.4193223426016355,-0.058090523725893406,0.0035555555555555553
0.15,0.25,0.5,5,1.0,3,2.5566980452573547,0.4193223426016355,-0.058090523725893406,0.0035555555555555553
0.15,0.25,0.3,5,0.5,3,2.5566980452573547,0.4193223426016355,-0.058090523725893406,0.0035555555555555553
0.15,0.25,0.3,5,1.0,3,2.5566980452573547,0.4193223426016355,-0.058090523725893406,0.0035555555555555553
0.35,0.25,0.3,5,1.0,3,2.5557256699605695,0.41492237472922455,-0.06315934150059321,0.013986669906835695
0.35,0.25,0.5,5,1.0,3,2.5557256699605695,0.41492237472922455,-0.06315934150059321,0.013986669906835695
0.35,0.4,0.3,5,0.5,3,2.55530773809013,0.41486838940422843,-0.06234506367564574,0.02110174413248537
0.35,0.4,0.5,5,0.5,3,2.55530773809013,0.41486838940422843,-0.06234506367564574,0.02110174413248537
0.35,0.6,0.5,5,1.0,3,2.555244200755263,0.4161407083174995,-0.06173281789512619,0.034027372281694945
0.35,0.6,0.5,5,1.5,1,2.5537983265816777,0.40254901053229464,-0.048154279428510804,0.04036839348748802
0.25,0.25,0.1,5,1.0,3,2.553452146369562,0.4179300765161229,-0.059374532172510874,0.003555555555555556
0.25,0.25,0.1,5,0.5,3,2.553452146369562,0.4179300765161229,-0.059374532172510874,0.003555555555555556
0.25,0.25,0.1,5,1.5,3,2.553452146369562,0.4179300765161229,-0.059374532172510874,0.003555555555555556
0.35,0.25,0.1,5,0.5,3,2.551219654817804,0.4141758822230086,-0.06341911963528091,0.013649694764919808
0.35,0.6,0.3,5,1.0,3,2.550872400691477,0.41525291914970874,-0.06173281789512619,0.03397754097979579
0.35,0.25,0.3,5,0.5,3,2.5500764369095394,0.4139192652608974,-0.06315934150059321,0.013619047233593029
0.35,0.25,0.5,5,0.5,3,2.5500764369095394,0.4139192652608974,-0.06315934150059321,0.013619047233593029
0.25,0.25,0.3,5,1.0,3,2.549917972834939,0.4171450932182321,-0.060117904560737845,0.0035555555555555553
0.25,0.25,0.5,5,1.5,3,2.549917972834939,0.4171450932182321,-0.060117904560737845,0.0035555555555555553
0.25,0.25,0.5,5,0.5,3,2.549917972834939,0.4171450932182321,-0.060117904560737845,0.0035555555555555553
0.25,0.25,0.3,5,1.5,3,2.549917972834939,0.4171450932182321,-0.060117904560737845,0.0035555555555555553
0.25,0.25,0.5,5,1.0,3,2.549917972834939,0.4171450932182321,-0.060117904560737845,0.0035555555555555553
0.25,0.25,0.3,5,0.5,3,2.549917972834939,0.4171450932182321,-0.060117904560737845,0.0035555555555555553
0.25,0.25,0.1,1,0.5,3,2.5345406421149344,0.4144027733154241,-0.06184677992593779,0.003555555555555556
0.25,0.25,0.1,1,1.0,3,2.5345406421149344,0.4144027733154241,-0.06184677992593779,0.003555555555555556
0.25,0.25,0.1,1,1.5,3,2.5345406421149344,0.4144027733154241,-0.06184677992593779,0.003555555555555556
0.15,0.6,0.3,5,1.0,3,2.5343118722547557,0.41556960413516175,-0.0569098487680707,0.009286761449687961
0.15,0.6,0.5,5,1.0,3,2.5343118722547557,0.41556960413516175,-0.0569098487680707,0.009286761449687961
0.15,0.6,0.1,5,1.0,3,2.5311764421762577,0.41463360489764733,-0.05779753531906795,0.009232580366427596
0.25,0.6,0.1,5,1.0,3,2.5304064310156815,0.41330596194994706,-0.059374532172510874,0.007291483980655178
0.25,0.25,0.3,1,0.5,3,2.530302871344103,0.41308735478662983,-0.062082020782448843,0.0035555555555555553
0.25,0.25,0.5,1,0.5,3,2.530302871344103,0.41308735478662983,-0.062082020782448843,0.0035555555555555553
0.25,0.25,0.3,1,1.5,3,2.530302871344103,0.41308735478662983,-0.062082020782448843,0.0035555555555555553
0.25,0.25,0.5,1,1.5,3,2.530302871344103,0.41308735478662983,-0.062082020782448843,0.0035555555555555553
0.25,0.25,0.5,1,1.0,3,2.530302871344103,0.41308735478662983,-0.062082020782448843,0.0035555555555555553
0.25,0.25,0.3,1,1.0,3,2.530302871344103,0.41308735478662983,-0.062082020782448843,0.0035555555555555553
0.35,0.25,0.1,5,1.5,3,2.5300252846223916,0.4091321645741426,-0.06341911963528091,0.013933085867338024
0.25,0.6,0.1,5,0.5,3,2.5290609948536362,0.41257978646771565,-0.059374532172510874,0.007693515009060879
0.35,0.4,0.1,5,0.5,3,2.528839130867237,0.41153767419246523,-0.06252082233048017,0.019981362833485374
0.35,0.25,0.5,5,1.5,3,2.528435406833666,0.408776716281507,-0.06315934150059321,0.013908479139159666
0.35,0.25,0.3,5,1.5,3,2.528435406833666,0.408776716281507,-0.06315934150059321,0.013908479139159666
0.15,0.6,0.3,5,0.5,3,2.527686800829641,0.4140664411305641,-0.0569098487680707,0.009143374936133897
0.15,0.6,0.5,5,0.5,3,2.527686800829641,0.4140664411305641,-0.0569098487680707,0.009143374936133897
0.35,0.4,0.5,5,1.0,1,2.5268651858673934,0.39424253895033323,-0.04091415602963122,0.023846589899235614
0.15,0.6,0.5,5,1.5,3,2.5260762453089654,0.41321075232609794,-0.0569098487680707,0.009229692463605511
0.15,0.6,0.3,5,1.5,3,2.5260762453089654,0.41321075232609794,-0.0569098487680707,0.009229692463605511
0.35,0.4,0.5,5,1.5,3,2.525681867091436,0.40785628227497006,-0.06234506367564574,0.02155157277115619
0.35,0.4,0.3,5,1.5,3,2.525681867091436,0.40785628227497006,-0.06234506367564574,0.02155157277115619
0.25,0.4,0.1,1,1.0,3,2.5256455095405586,0.4042764065005806,-0.06127154429644999,0.04813475424448688
0.15,0.6,0.1,5,0.5,3,2.5245571900351544,0.413134858460124,-0.05779753531906795,0.00909049621068147
0.25,0.4,0.1,1,0.5,3,2.524271862279703,0.4028692265625491,-0.06127154429644999,0.048075635876045665
0.15,0.4,0.1,1,0.5,3,2.5236508159307127,0.411024273407701,-0.062468635683931684,0.0035555555555555553
0.15,0.4,0.1,1,1.5,3,2.5236508159307127,0.411024273407701,-0.062468635683931684,0.0035555555555555553
0.15,0.25,0.1,1,1.0,3,2.5236508159307127,0.411024273407701,-0.062468635683931684,0.0035555555555555553
0.15,0.25,0.1,1,0.5,3,2.5236508159307127,0.411024273407701,-0.062468635683931684,0.0035555555555555553
0.15,0.4,0.1,1,1.0,3,2.5236508159307127,0.411024273407701,-0.062468635683931684,0.0035555555555555553
0.15,0.25,0.1,1,1.5,3,2.5236508159307127,0.411024273407701,-0.062468635683931684,0.0035555555555555553
0.15,0.6,0.1,5,1.5,3,2.5229337662310654,0.4122763128024918,-0.05779753531906795,0.009175511380345145
0.35,0.25,0.3,5,1.5,2,2.522003872409124,0.4289978532810801,-0.06718349032774196,0.015357723137703803
0.25,0.6,0.1,5,1.5,3,2.5210986562182343,0.411006147050909,-0.059374532172510874,0.0073432655944949965
0.25,0.4,0.1,1,1.5,3,2.518833970878254,0.40392216499146416,-0.06127154429644999,0.04795387360572533
0.15,0.6,0.1,1,1.0,3,2.518397901648254,0.40508371547301225,-0.062178481192345814,0.02804899188287735
